port_code;port_name;state;info;ident;type;name;elevation_ft;continent;iso_country;municipality;lon;lat
CIN;CINCINNATI;OH;;;;;;;;;;
CLE;CLEVELAND;OH;;KCLE;large_airport;Cleveland Hopkins International Airport;791.0;;US;Cleveland;-81.8498001099; 41.4117012024
CLM;COLUMBUS;OH;;;;;;;;;;
LOR;LORAIN;OH;;;;;;;;;;
MBO;MARBLE HEADS;OH;;;;;;;;;;
SDY;SANDUSKY;OH;;;;;;;;;;
TOL;TOLEDO;OH;;KTOL;large_airport;Toledo Express Airport;683.0;;US;Toledo;-83.80780029; 41.58679962
OKC;OKLAHOMA CITY;OK;;KOKC;large_airport;Will Rogers World Airport;1295.0;;US;Oklahoma City;-97.60070037841797; 35.39310073852539
TUL;TULSA;OK;;KTUL;large_airport;Tulsa International Airport;677.0;;US;Tulsa;-95.88809967041016; 36.19839859008789
AST;ASTORIA;OR;;KAST;medium_airport;Astoria Regional Airport;15.0;;US;Astoria;-123.878997803; 46.158000946
COO;COOS BAY;OR;;;;;;;;;;
HIO;HILLSBORO;OR;;KHIO;medium_airport;Portland Hillsboro Airport;208.0;;US;Portland;-122.949997; 45.540401
MED;MEDFORD;OR;;;;;;;;;;
NPT;NEWPORT;OR;;;;;;;;;;
POO;PORTLAND;OR;;;;;;;;;;
PUT;PUT-IN-BAY;OH;;;;;;;;;;
RDM;ROBERTS FIELDS - REDMOND;OR;;KRDM;medium_airport;Roberts Field;3080.0;;US;Redmond;-121.1500015; 44.2541008
ERI;ERIE;PA;;KERI;large_airport;Erie International Tom Ridge Field;732.0;;US;Erie;-80.1738667488; 42.0831270134
MDT;HARRISBURG;PA;;KMDT;medium_airport;Harrisburg International Airport;310.0;;US;Harrisburg;-76.7633972168; 40.1935005188
HSB;HARRISONBURG;PA;;;;;;;;;;
PHI;PHILADELPHIA;PA;;;;;;;;;;
PIT;PITTSBURG;PA;;KPIT;large_airport;Pittsburgh International Airport;1203.0;;US;Pittsburgh;-80.23290253; 40.49150085
AGU;AGUADILLA;PR;;;;;;;;;;
BQN;BORINQUEN - AGUADILLO;PR;;;;;;;;;;
JCP;CULEBRA - BENJAMIN RIVERA;PR;;;;;;;;;;
ENS;ENSENADA;PR;;;;;;;;;;
FAJ;FAJARDO;PR;;;;;;;;;;
HUM;HUMACAO;PR;;;;;;;;;;
JOB;JOBOS;PR;;;;;;;;;;
MAY;MAYAGUEZ;PR;;;;;;;;;;
PON;PONCE;PR;;;;;;;;;;
PSE;PONCE-MERCEDITA;PR;;;;;;;;;;
SAJ;SAN JUAN;PR;;;;;;;;;;
VQS;VIEQUES-ARPT;PR;;;;;;;;;;
PRO;PROVIDENCE;RI;;;;;;;;;;
PVD;THEODORE FRANCIS - WARWICK;RI;;KPVD;medium_airport;Theodore Francis Green State Airport;55.0;;US;Providence;-71.42040252685547; 41.732601165771484
CHL;CHARLESTON;SC;;;;;;;;;;
CAE;COLUMBIA;SC;;KCAE;large_airport;Columbia Metropolitan Airport;236.0;;US;Columbia;-81.11949920654297; 33.93880081176758
GEO;GEORGETOWN;SC;;;;;;;;;;
GSP;GREENVILLE;SC;;KGSP;large_airport;Greenville Spartanburg International Airport;964.0;;US;Greenville;-82.2189025879; 34.8956985474
GRR;GREER;SC;;;;;;;;;;
MYR;MYRTLE BEACH;SC;;KMYR;medium_airport;Myrtle Beach International Airport;25.0;;US;Myrtle Beach;-78.9282989502; 33.6796989441
SPF;BLACK HILLS;;SPEARFISH;;;;;;;;;
HON;HOWES REGIONAL ARPT - HURON;SD;;KHON;medium_airport;Huron Regional Airport;1289.0;;US;Huron;-98.22850036621094; 44.38520050048828
SAI;SAIPAN;;SPN;;;;;;;;;
TYS;MC GHEE TYSON - ALCOA;TN;;KTYS;large_airport;McGhee Tyson Airport;981.0;;US;Knoxville;-83.9940033; 35.81100082
MEM;MEMPHIS;TN;;KMEM;large_airport;Memphis International Airport;341.0;;US;Memphis;-89.97669982910156; 35.04240036010742
NSV;NASHVILLE;TN;;;;;;;;;;
TRI;TRI CITY ARPT;TN;;KTRI;large_airport;Tri-Cities Regional TN/VA Airport;1519.0;;US;Bristol/Johnson/Kingsport;-82.407401; 36.475201
ADS;ADDISON AIRPORT- ADDISON;TX;;KADS;small_airport;Addison Airport;644.0;;US;Dallas;-96.8364028931; 32.9686012268
ADT;AMISTAD DAM;TX;;;;;;;;;;
ANZ;ANZALDUAS;TX;;;;;;;;;;
AUS;AUSTIN;TX;;KAUS;large_airport;Austin Bergstrom International Airport;542.0;;US;Austin;-97.6698989868164; 30.194499969482422
BEA;BEAUMONT;TX;;;;;;;;;;
BBP;BIG BEND PARK;TX;;;;;;;;;;
SCC;BP SPEC COORD. CTR;TX;;;;;;;;;;
BTC;BP TACTICAL UNIT;TX;;;;;;;;;;
BOA;BRIDGE OF AMERICAS;TX;;;;;;;;;;
BRO;BROWNSVILLE;TX;;KBRO;medium_airport;Brownsville South Padre Island International Airport;22.0;;US;Brownsville;-97.4259033203125; 25.90679931640625
CRP;CORPUS CHRISTI;TX;;KCRP;large_airport;Corpus Christi International Airport;44.0;;US;Corpus Christi;-97.5011978149414; 27.77039909362793
DAL;DALLAS;TX;;KDAL;large_airport;Dallas Love Field;487.0;;US;Dallas;-96.851799; 32.847099
DLR;DEL RIO;TX;;;;;;;;;;
DNA;DONNA;TX;;;;;;;;;;
EGP;EAGLE PASS;TX;;K5T9;small_airport;Maverick County Memorial International Airport;887.0;;US;Eagle Pass;-100.512001; 28.85720062
ELP;EL PASO;TX;;KELP;medium_airport;El Paso International Airport;3959.0;;US;El Paso;-106.3779984; 31.80719948
FAB;FABENS;TX;;;;;;;;;;
FAL;FALCON HEIGHTS;TX;;;;;;;;;;
FTH;FORT HANCOCK;TX;;;;;;;;;;
AFW;FORT WORTH ALLIANCE;TX;;KAFW;large_airport;Fort Worth Alliance Airport;722.0;;US;Fort Worth;-97.31880187990001; 32.9875984192
FPT;FREEPORT;TX;;;;;;;;;;
GAL;GALVESTON;TX;;;;;;;;;;
HLG;HARLINGEN;TX;;;;;;;;;;
HID;HIDALGO;TX;;;;;;;;;;
HOU;HOUSTON;TX;;KHOU;large_airport;William P Hobby Airport;46.0;;US;Houston;-95.27890015; 29.64539909
SGR;HULL FIELD;;SUGAR LAND ARPT;;;;;;;;;
LLB;JUAREZ-LINCOLN BRIDGE;TX;;;;;;;;;;
LCB;LAREDO COLUMBIA BRIDGE;TX;;;;;;;;;;
LRN;LAREDO NORTH;TX;;;;;;;;;;
LAR;LAREDO;TX;;;;;;;;;;
LSE;LOS EBANOS;TX;;;;;;;;;;
IND;LOS INDIOS;TX;;;;;;;;;;
LOI;LOS INDIOS;TX;;;;;;;;;;
MRS;MARFA;TX;;;;;;;;;;
MCA;MCALLEN;TX;;;;;;;;;;
MAF;ODESSA REGIONAL;TX;;KMAF;medium_airport;Midland International Airport;2871.0;;US;Midland;-102.2020034790039; 31.9424991607666
PDN;PASO DEL NORTE;TX;;;;;;;;;;
PBB;PEACE BRIDGE;NY;;;;;;;;;;
PHR;PHARR;TX;;;;;;;;;;
PAR;PORT ARTHUR;TX;;;;;;;;;;
ISB;PORT ISABEL;TX;;;;;;;;;;
POE;PORT OF EL PASO;TX;;;;;;;;;;
PRE;PRESIDIO;TX;;;;;;;;;;
PGR;PROGRESO;TX;;;;;;;;;;
RIO;RIO GRANDE CITY;TX;;;;;;;;;;
ROM;ROMA;TX;;;;;;;;;;
SNA;SAN ANTONIO;TX;;;;;;;;;;
SNN;SANDERSON;TX;;;;;;;;;;
VIB;VETERAN INTL BRIDGE;TX;;;;;;;;;;
YSL;YSLETA;TX;;;;;;;;;;
CHA;CHARLOTTE AMALIE;VI;;;;;;;;;;
CHR;CHRISTIANSTED;VI;;;;;;;;;;
CRU;CRUZ BAY;;ST JOHN;;;;;;;;;
FRK;FREDERIKSTED;VI;;;;;;;;;;
STT;ST THOMAS;VI;;;;;;;;;;
LGU;CACHE AIRPORT - LOGAN;UT;;KLGU;medium_airport;Logan-Cache Airport;4457.0;;US;Logan;-111.851997375; 41.7911987305
SLC;SALT LAKE CITY;UT;;KSLC;large_airport;Salt Lake City International Airport;4227.0;;US;Salt Lake City;-111.97799682617188; 40.78839874267578
CHO;ALBEMARLE CHARLOTTESVILLE;VA;;KCHO;medium_airport;Charlottesville Albemarle Airport;639.0;;US;Charlottesville;-78.4529037475586; 38.13859939575195
DAA;DAVISON AAF - FAIRFAX CNTY;VA;;KDAA;medium_airport;Davison Army Air Field;73.0;;US;Fort Belvoir;-77.1809997559; 38.715000152600005
HOP;HOPEWELL;VA;;;;;;;;;;
HEF;MANASSAS;VA;;;;;;;;;;
NWN;NEWPORT;VA;;;;;;;;;;
NOR;NORFOLK;VA;;;;;;;;;;
RCM;RICHMOND;VA;;;;;;;;;;
ABS;ALBURG SPRINGS;VT;;;;;;;;;;
ABG;ALBURG;VT;;;;;;;;;;
BEB;BEEBE PLAIN;VT;;;;;;;;;;
BEE;BEECHER FALLS;VT;;;;;;;;;;
BRG;BURLINGTON;VT;;;;;;;;;;
CNA;CANAAN;VT;;;;;;;;;;
DER;DERBY LINE;VT;;;;;;;;;;
DLV;DERBY LINE;VT;;;;;;;;;;
ERC;EAST RICHFORD;VT;;;;;;;;;;
HIG;HIGHGATE SPRINGS;VT;;;;;;;;;;
MOR;MORSES LINE;VT;;;;;;;;;;
NPV;NEWPORT;VT;;;;;;;;;;
NRT;NORTH TROY;VT;;;;;;;;;;
NRN;NORTON;VT;;;;;;;;;;
PIV;PINNACLE ROAD;VT;;;;;;;;;;
RIF;RICHFORT;VT;;;;;;;;;;
STA;ST ALBANS;VT;;;;;;;;;;
SWB;SWANTON;VT;;;;;;;;;;
WBE;WEST BERKSHIRE;VT;;;;;;;;;;
ABE;ABERDEEN;WA;;;;;;;;;;
ANA;ANACORTES;WA;;;;;;;;;;
BEL;BELLINGHAM;WA;;;;;;;;;;
BLI;BELLINGHAM;;WASHINGTON;;;;;;;;;
BLA;BLAINE;WA;;;;;;;;;;
BWA;BOUNDARY;WA;;;;;;;;;;
CUR;CURLEW;WA;;;;;;;;;;
DVL;DANVILLE;WA;;;;;;;;;;
EVE;EVERETT;WA;;;;;;;;;;
FER;FERRY;WA;;;;;;;;;;
FRI;FRIDAY HARBOR;WA;;;;;;;;;;
FWA;FRONTIER;WA;;;;;;;;;;
KLM;KALAMA;WA;;;;;;;;;;
LAU;LAURIER;WA;;;;;;;;;;
LON;LONGVIEW;WA;;;;;;;;;;
MET;METALINE FALLS;WA;;;;;;;;;;
MWH;MOSES LAKE GRANT COUNTY ARPT;WA;;KMWH;medium_airport;Grant County International Airport;1189.0;;US;Moses Lake;-119.3199997; 47.20769882
NEA;NEAH BAY;WA;;;;;;;;;;
NIG;NIGHTHAWK;WA;;;;;;;;;;
OLY;OLYMPIA;WA;;;;;;;;;;
ORO;OROVILLE;WA;;;;;;;;;;
PWB;PASCO;WA;;;;;;;;;;
PIR;POINT ROBERTS;WA;;;;;;;;;;
PNG;PORT ANGELES;WA;;;;;;;;;;
PTO;PORT TOWNSEND;WA;;;;;;;;;;
SEA;SEATTLE;WA;;KSEA;large_airport;Seattle Tacoma International Airport;433.0;;US;Seattle;-122.308998; 47.449001
SPO;SPOKANE;WA;;;;;;;;;;
SUM;SUMAS;WA;;;;;;;;;;
TAC;TACOMA;WA;;;;;;;;;;
PSC;TRI-CITIES - PASCO;WA;;KPSC;medium_airport;Tri Cities Airport;410.0;;US;Pasco;-119.11900329589844; 46.26470184326172
VAN;VANCOUVER;WA;;;;;;;;;;
AGM;ALGOMA;WI;;;;;;;;;;
BAY;BAYFIELD;WI;;;;;;;;;;
GRB;GREEN BAY;WI;;KGRB;large_airport;Austin Straubel International Airport;695.0;;US;Green Bay;-88.12960052490234; 44.48509979248047
MNW;MANITOWOC;WI;;;;;;;;;;
MIL;MILWAUKEE;WI;;;;;;;;;;
MSN;TRUAX FIELD - DANE COUNTY;WI;;KMSN;large_airport;Dane County Regional Truax Field;887.0;;US;Madison;-89.3375015258789; 43.13990020751953
CHS;CHARLESTON;WV;;;;;;;;;;
CLK;CLARKSBURG;WV;;;;;;;;;;
BLF;MERCER COUNTY;WV;;KBLF;medium_airport;Mercer County Airport;2857.0;;US;Bluefield;-81.20770263671875; 37.295799255371094
CSP;CASPER;WY;;;;;;;;;;
XXX;NOT REPORTED/UNKNOWN   ;;;;;;;;;;;
888;UNIDENTIFED AIR / SEAPORT;;;;;;;;;;;
UNK;UNKNOWN POE           ;;;;;;;;;;;
CLG;CALGARY;;CANADA;;;;;;;;;
EDA;EDMONTON;;CANADA;;;;;;;;;
YHC;HAKAI PASS;;CANADA;;;;;;;;;
HAL;Halifax;NS;;;;;;;;;;
MON;MONTREAL;;CANADA;;;;;;;;;
OTT;OTTAWA;;CANADA;;;;;;;;;
YXE;SASKATOON;;CANADA;;;;;;;;;
TOR;TORONTO;;CANADA;;;;;;;;;
VCV;VANCOUVER;;CANADA;;;;;;;;;
VIC;VICTORIA;;CANADA;;;;;;;;;
WIN;WINNIPEG;;CANADA;;;;;;;;;
AMS;AMSTERDAM-SCHIPHOL;;NETHERLANDS;;;;;;;;;
ARB;ARUBA;;NETH ANTILLES;;;;;;;;;
BAN;BANKOK;;THAILAND;;;;;;;;;
BEI;BEICA #ARPT;;ETHIOPIA;;;;;;;;;
PEK;BEIJING CAPITAL INTL;;PRC;;;;;;;;;
BDA;KINDLEY FIELD;;BERMUDA;;;;;;;;;
BOG;BOGOTA;EL;;;;;;;;;;
EZE;BUENOS AIRES;;MINISTRO PIST;;;;;;;;;
CUN;CANCUN;;MEXICO;;;;;;;;;
CRQ;CARAVELAS;BA;;SBCV;medium_airport;Caravelas Airport;36.0;SA;BR;Caravelas;-39.253101348877; -17.652299880981
MVD;CARRASCO;;URUGUAY;;;;;;;;;
DUB;DUBLIN;;IRELAND;;;;;;;;;
FOU;FOUGAMOU #ARPT;;GABON;;;;;;;;;
FBA;FREEPORT;;BAHAMAS;;;;;;;;;
MTY;GEN M. ESCOBEDO;;Monterrey;;;;;;;;;
HMO;GEN PESQUEIRA GARCIA;MX;;;;;;;;;;
GCM;GRAND CAYMAN;;CAYMAN ISLAND;;;;;;;;;
GDL;GUADALAJARA;;MIGUEL HIDAL;;;;;;;;;
HAM;HAMILTON;;BERMUDA;;;;;;;;;
ICN;INCHON;;SEOUL KOREA;;;;;;;;;
IWA;INVALID - IWAKUNI;;JAPAN;;;;;;;;;
CND;KOGALNICEANU;;ROMANIA;;;;;;;;;
LAH;LABUHA ARPT;;INDONESIA;;;;;;;;;
DUR;LOUIS BOTHA;;SOUTH AFRICA;;;;;;;;;
MAL;MANGOLE ARPT;;INDONESIA;;;;;;;;;
MDE;MEDELLIN;;COLOMBIA;;;;;;;;;
MEX;JUAREZ INTL;;MEXICO CITY;;;;;;;;;
LHR;MIDDLESEX;;ENGLAND;;;;;;;;;
NBO;NAIROBI;;KENYA;;;;;;;;;
NAS;NASSAU;;BAHAMAS;;;;;;;;;
NCA;NORTH CAICOS;;TURK & CAIMAN;;;;;;;;;
PTY;OMAR TORRIJOS;;PANAMA;;;;;;;;;
SPV;PAPUA;;NEW GUINEA;;;;;;;;;
UIO;QUITO (MARISCAL SUCR);;ECUADOR;;;;;;;;;
RIT;ROME;;ITALY;;;;;;;;;
SNO;SAKON NAKHON #ARPT;;THAILAND;;;;;;;;;
SLP;SAN LUIS POTOSI #ARPT;;MEXICO;;;;;;;;;
SAN;SAN SALVADOR;;EL SALVADOR;;;;;;;;;
SRO;SANTANA RAMOS #ARPT;;COLOMBIA;;;;;;;;;
GRU;GUARULHOS INTL;;SAO PAULO;;;;;;;;;
SHA;SHANNON;;IRELAND;;;;;;;;;
HIL;SHILLAVO;;ETHIOPIA;;;;;;;;;
TOK;TOROKINA #ARPT;;PAPUA;;;;;;;;;
VER;VERACRUZ;;MEXICO;;;;;;;;;
LGW;WEST SUSSEX;;ENGLAND;;;;;;;;;
ZZZ;MEXICO Land (Banco de Mexico) ;;;;;;;;;;;
CHN;No PORT Code (CHN);;;;;;;;;;;
CNC;CANNON CORNERS;NY;;;;;;;;;;
MAA;Abu Dhabi;;;;;;;;;;;
AG0;MAGNOLIA;AR;;;;;;;;;;
BHM;BAR HARBOR;ME;;;;;;;;;;
BHX;BIRMINGHAM;AL;;;;;;;;;;
CAK;AKRON;OH;;KCAK;medium_airport;Akron Canton Regional Airport;1228.0;;US;Akron;-81.44219970703125; 40.916099548339844
FOK;SUFFOLK COUNTY;NY;;KFOK;small_airport;Francis S Gabreski Airport;67.0;;US;Westhampton Beach;-72.6317977905; 40.8437004089
LND;LANDER;WY;;KLND;medium_airport;Hunt Field;5586.0;;US;Lander;-108.730003357; 42.8152008057
MAR;MARFA;TX;;;;;;;;;;
MLI;MOLINE;IL;;KMLI;large_airport;Quad City International Airport;590.0;;US;Moline;-90.50749969482422; 41.44850158691406
RIV;RIVERSIDE;CA;;KRIV;medium_airport;March ARB Airport;1536.0;;US;Riverside;-117.259003; 33.880699
RME;ROME;NY;;KRME;medium_airport;Griffiss International Airport;504.0;;US;Rome;-75.40699768; 43.23379898
VNY;VAN NUYS;CA;;KVNY;medium_airport;Van Nuys Airport;802.0;;US;Van Nuys;-118.48999786377; 34.209800720215
YUM;YUMA;AZ;;KNYL;medium_airport;Yuma MCAS/Yuma International Airport;213.0;;US;Yuma;-114.6060028; 32.65660095
FRG;Collapsed (FOK) 06/15;;;;;;;;;;;
HRL;Collapsed (HLG) 06/15;;;;;;;;;;;
ISP;Collapsed (FOK) 06/15;;;;;;;;;;;
JSJ;Collapsed (SAJ) 06/15;;;;;;;;;;;
BUS;Collapsed (BUF) 06/15;;;;;;;;;;;
IAG;Collapsed (NIA) 06/15;;;;;;;;;;;
PHN;Collapsed (PHU) 06/15;;;;;;;;;;;
STN;Collapsed (STR) 06/15;;;;;;;;;;;
VMB;Collapsed (VNB) 06/15;;;;;;;;;;;
T01;Collapsed (SEA) 06/15;;;;;;;;;;;
PHF;No PORT Code (PHF);;;;;;;;;;;
DRV;No PORT Code (DRV);;;;;;;;;;;
FTB;No PORT Code (FTB);;;;;;;;;;;
GAC;No PORT Code (GAC);;;;;;;;;;;
GMT;No PORT Code (GMT);;;;;;;;;;;
JFA;No PORT Code (JFA);;;;;;;;;;;
JMZ;No PORT Code (JMZ);;;;;;;;;;;
NC8;No PORT Code (NC8);;;;;;;;;;;
NYL;No PORT Code (NYL);;;;;;;;;;;
OAI;No PORT Code (OAI);;;;;;;;;;;
PCW;No PORT Code (PCW);;;;;;;;;;;
WA5;No PORT Code (WAS);;;;;;;;;;;
WTR;No PORT Code (WTR);;;;;;;;;;;
X96;No PORT Code (X96);;;;;;;;;;;
XNA;No PORT Code (XNA);;;;;;;;;;;
YGF;No PORT Code (YGF);;;;;;;;;;;
5T6;No PORT Code (5T6);;;;;;;;;;;
060;No PORT Code (60);;;;;;;;;;;
SP0;No PORT Code (SP0);;;;;;;;;;;
W55;No PORT Code (W55);;;;;;;;;;;
X44;No PORT Code (X44);;;;;;;;;;;
AUH;No PORT Code (AUH);;;;;;;;;;;
RYY;No PORT Code (RYY);;;;;;;;;;;
SUS;No PORT Code (SUS);;;;;;;;;;;
74S;No PORT Code (74S);;;;;;;;;;;
ATW;No PORT Code (ATW);;;;;;;;;;;
CPX;No PORT Code (CPX);;;;;;;;;;;
MTH;No PORT Code (MTH);;;;;;;;;;;
PFN;No PORT Code (PFN);;;;;;;;;;;
SCH;No PORT Code (SCH);;;;;;;;;;;
ASI;No PORT Code (ASI);;;;;;;;;;;
BKF;No PORT Code (BKF);;;;;;;;;;;
DAY;No PORT Code (DAY);;;;;;;;;;;
Y62;No PORT Code (Y62);;;;;;;;;;;
AG;No PORT Code (AG);;;;;;;;;;;
BCM;No PORT Code (BCM);;;;;;;;;;;
DEC;No PORT Code (DEC);;;;;;;;;;;
PLB;No PORT Code (PLB);;;;;;;;;;;
CXO;No PORT Code (CXO);;;;;;;;;;;
JBQ;No PORT Code (JBQ);;;;;;;;;;;
JIG;No PORT Code (JIG);;;;;;;;;;;
OGS;No PORT Code (OGS);;;;;;;;;;;
TIW;No PORT Code (TIW);;;;;;;;;;;
OTS;No PORT Code (OTS);;;;;;;;;;;
AMT;No PORT Code (AMT);;;;;;;;;;;
EGE;No PORT Code (EGE);;;;;;;;;;;
GPI;No PORT Code (GPI);;;;;;;;;;;
NGL;No PORT Code (NGL);;;;;;;;;;;
OLM;No PORT Code (OLM);;;;;;;;;;;
.GA;No PORT Code (.GA);;;;;;;;;;;
CLX;No PORT Code (CLX);;;;;;;;;;;
CP ;No PORT Code (CP);;;;;;;;;;;
FSC;No PORT Code (FSC);;;;;;;;;;;
NK;No PORT Code (NK);;;;;;;;;;;
